============================================================
Tier 1 Daily Review — 20260208_0400
============================================================
Targets: 5 files
Derivatives: 104/file (13 base × 8 variants)
Expected tasks: 520
API Keys: 15
Max concurrent: 5
============================================================

--- Target: mekhane/anamnesis/gnosis_chat.py ---
=== Jules Specialist Batch Runner v3.0 ===
Target: mekhane/anamnesis/gnosis_chat.py
Category: all
Specialists: 104
API Keys: 15

[1/104] HG-001.μ PROOF行検査官...
[2/104] HG-001.μF PROOF行検査官...
[3/104] HG-001.μP PROOF行検査官...
[4/104] HG-001.F PROOF行検査官...
[5/104] HG-001.P PROOF行検査官...
  ✗ Error: 400
[6/104] HG-001.M PROOF行検査官...
  ✗ Error: 400
[7/104] HG-001.MF PROOF行検査官...
  ✗ Error: 400
[8/104] HG-001.MP PROOF行検査官...
  ✗ Error: 400
[9/104] HG-002.μ 予測誤差審問官...
  ✗ Error: 400
[10/104] HG-002.μF 予測誤差審問官...
  ✗ Error: 400
[11/104] HG-002.μP 予測誤差審問官...
  ✗ Error: 400
[12/104] HG-002.F 予測誤差審問官...
  ✗ Error: 400
[13/104] HG-002.P 予測誤差審問官...
  ✗ Error: 400
[14/104] HG-002.M 予測誤差審問官...
  ✓ Started (hegemonikon)
[15/104] HG-002.MF 予測誤差審問官...
  ✓ Started (hegemonikon)
[16/104] HG-002.MP 予測誤差審問官...
  ✓ Started (hegemonikon)
[17/104] HG-003.μ ストア派制御審判...
  ✓ Started (hegemonikon)
[18/104] HG-003.μF ストア派制御審判...
  ✓ Started (hegemonikon)
[19/104] HG-003.μP ストア派制御審判...
  ✗ Error: 400
[20/104] HG-003.F ストア派制御審判...
  ✗ Error: 400
[21/104] HG-003.P ストア派制御審判...
  ✓ Started (hegemonikon)
[22/104] HG-003.M ストア派制御審判...
  ✗ Error: 400
[23/104] HG-003.MF ストア派制御審判...
  ✗ Error: 400
[24/104] HG-003.MP ストア派制御審判...
  ✗ Error: 400
[25/104] HG-004.μ CCL式美学者...
  ✗ Error: 400
[26/104] HG-004.μF CCL式美学者...
  ✗ Error: 400
[27/104] HG-004.μP CCL式美学者...
  ✗ Error: 400
[28/104] HG-004.F CCL式美学者...
  ✗ Error: 400
[29/104] HG-004.P CCL式美学者...
  ✓ Started (hegemonikon)
[30/104] HG-004.M CCL式美学者...
  ✓ Started (hegemonikon)
[31/104] HG-004.MF CCL式美学者...
  ✓ Started (hegemonikon)
[32/104] HG-004.MP CCL式美学者...
  ✗ Error: 400
[33/104] HG-005.μ 定理整合性監査官...
  ✗ Error: 400
[34/104] HG-005.μF 定理整合性監査官...
  ✓ Started (hegemonikon)
[35/104] HG-005.μP 定理整合性監査官...
  ✓ Started (hegemonikon)
[36/104] HG-005.F 定理整合性監査官...
  ✓ Started (hegemonikon)
[37/104] HG-005.P 定理整合性監査官...
  ✗ Error: 400
[38/104] HG-005.M 定理整合性監査官...
  ✗ Error: 400
[39/104] HG-005.MF 定理整合性監査官...
  ✗ Error: 400
[40/104] HG-005.MP 定理整合性監査官...
  ✗ Error: 400
[41/104] HG-006.μ ワークフロー適合審査官...
  ✗ Error: 400
[42/104] HG-006.μF ワークフロー適合審査官...
  ✗ Error: 400
[43/104] HG-006.μP ワークフロー適合審査官...
  ✗ Error: 400
[44/104] HG-006.F ワークフロー適合審査官...
  ✓ Started (hegemonikon)
[45/104] HG-006.P ワークフロー適合審査官...
  ✓ Started (hegemonikon)
[46/104] HG-006.M ワークフロー適合審査官...
  ✓ Started (hegemonikon)
[47/104] HG-006.MF ワークフロー適合審査官...
  ✗ Error: 400
[48/104] HG-006.MP ワークフロー適合審査官...
  ✗ Error: 400
[49/104] AI-002.μ ハルシネーション検出者...
  ✓ Started (hegemonikon)
[50/104] AI-002.μF ハルシネーション検出者...
  ✓ Started (hegemonikon)
[51/104] AI-002.μP ハルシネーション検出者...
  ✗ Error: 400
[52/104] AI-002.F ハルシネーション検出者...
  ✓ Started (hegemonikon)
[53/104] AI-002.P ハルシネーション検出者...
  ✗ Error: 400
[54/104] AI-002.M ハルシネーション検出者...
  ✗ Error: 400
[55/104] AI-002.MF ハルシネーション検出者...
  ✗ Error: 400
[56/104] AI-002.MP ハルシネーション検出者...
  ✗ Error: 400
[57/104] AI-005.μ コード/コメント矛盾検出者...
  ✗ Error: 400
[58/104] AI-005.μF コード/コメント矛盾検出者...
  ✗ Error: 400
[59/104] AI-005.μP コード/コメント矛盾検出者...
  ✓ Started (ai_generated)
[60/104] AI-005.F コード/コメント矛盾検出者...
  ✓ Started (ai_generated)
[61/104] AI-005.P コード/コメント矛盾検出者...
  ✓ Started (ai_generated)
[62/104] AI-005.M コード/コメント矛盾検出者...
  ✗ Error: 400
[63/104] AI-005.MF コード/コメント矛盾検出者...
  ✗ Error: 400
[64/104] AI-005.MP コード/コメント矛盾検出者...
  ✓ Started (ai_generated)
[65/104] CG-001.μ ネスト深度警報者...
  ✓ Started (ai_generated)
[66/104] CG-001.μF ネスト深度警報者...
  ✗ Error: 400
[67/104] CG-001.μP ネスト深度警報者...
  ✗ Error: 400
[68/104] CG-001.F ネスト深度警報者...
  ✗ Error: 400
[69/104] CG-001.P ネスト深度警報者...
  ✗ Error: 400
[70/104] CG-001.M ネスト深度警報者...
  ✓ Started (ai_generated)
[71/104] CG-001.MF ネスト深度警報者...
  ✗ Error: 400
[72/104] CG-001.MP ネスト深度警報者...
  ✗ Error: 400
[73/104] CG-002.μ 認知チャンク分析者...
  ✗ Error: 400
[74/104] CG-002.μF 認知チャンク分析者...
  ✓ Started (cognitive)
[75/104] CG-002.μP 認知チャンク分析者...
  ✓ Started (cognitive)
[76/104] CG-002.F 認知チャンク分析者...
  ✓ Started (cognitive)
